material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap,thermo_type,rxn_energy_CaO_eV_per_atom,rxn_CaO,rxn_energy_CaAl2Si2O8_eV_per_atom,rxn_CaAl2Si2O8
mp-1202190,Lu2Si2O7,Lu,P4_32_12,Tetragonal,0.019960798409083,-3.704217053257575,6.58370697459744,522.700431326118,44,5.1931,GGA_GGA+U,-0.0988234795395253,0.2 Lu2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Lu2O3,0.0,Lu2Si2O7 -> Lu2Si2O7
mp-581644,Y2Si2O7,Y,P-1,Triclinic,0.0,-3.671023028712122,4.262086953852866,1617.547896157262,132,4.7121,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-21794,Sm2Si2O7,Sm,P4_1,Tetragonal,0.014749998068174,-3.622445458068182,5.753872021097067,1082.547330018101,88,5.0,GGA_GGA+U,-0.08027878651314202,0.2 Sm2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Sm2O3,0.0,Sm2Si2O7 -> Sm2Si2O7
mp-18391,Sm2Si2O7,Sm,P2_1/c,Monoclinic,0.021652230909083,-3.615543225227272,5.686430168515022,547.6932459482846,44,4.9072000000000005,GGA_GGA+U,-0.08027878651314202,0.2 Sm2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Sm2O3,0.0,Sm2Si2O7 -> Sm2Si2O7
mp-17235,Sm2Si2O7,Sm,P-1,Triclinic,0.0,-3.637195456136363,5.232008128805824,595.2627213450243,44,5.321,GGA_GGA+U,-0.08027878651314202,0.2 Sm2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Sm2O3,0.0,Sm2Si2O7 -> Sm2Si2O7
mp-13775,Gd2Si2O7,Gd,Pnma,Orthorhombic,0.0,-3.629723050909088,5.503865479146377,582.49031019204,44,3.2104,GGA_GGA+U,-0.0934100013157555,0.2 Gd2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Gd2O3,0.0,Gd2Si2O7 -> Gd2Si2O7
mp-16461,Gd2Si2O7,Gd,P2_1/c,Monoclinic,0.030158190227281,-3.599564860681817,5.930507184467777,540.585857243329,44,2.9046000000000003,GGA_GGA+U,-0.0934100013157555,0.2 Gd2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Gd2O3,0.0,Gd2Si2O7 -> Gd2Si2O7
mp-542469,Gd2Si2O7,Gd,P-1,Triclinic,0.011054239090917,-3.61866881181818,5.956232416595656,538.2510429362369,44,2.7971,GGA_GGA+U,-0.0934100013157555,0.2 Gd2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Gd2O3,0.0,Gd2Si2O7 -> Gd2Si2O7
mp-561551,Y2Si2O7,Y,P2_1/m,Monoclinic,0.022948241893947,-3.648074786818182,3.935411544654483,291.9698785932734,22,5.176900000000001,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-561531,Y2Si2O7,Y,P2_1/m,Monoclinic,0.046977508257585,-3.624045520454544,3.875804876133672,296.46013347646846,22,4.5957,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-17308,Tb2Si2O7,Tb,P-1,Triclinic,0.0,-3.657226894848484,6.100760237975205,529.1478532643463,44,4.9475,GGA_GGA+U,-0.10032074467103014,0.2 Tb2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Tb2O3,0.0,Tb2Si2O7 -> Tb2Si2O7
mp-1208518,Tb2SiO5,Tb,P2_1/c,Monoclinic,0.0,-3.784206000416667,7.024483530816206,402.75058814453183,32,4.8469999999999995,GGA_GGA+U,-0.06246663968748267,0.3333 Tb2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Tb2O3,0.0,Tb2SiO5 -> Tb2SiO5
mp-5652,Y2Si2O7,Y,C2/m,Monoclinic,0.012987350075766,-3.658035678636363,4.008890788263514,143.30917098954507,11,4.8042,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-18385,Lu2Si2O7,Lu,P4_12_12,Tetragonal,0.019656807727265,-3.704521043939393,6.890390114496473,499.4356514164268,44,5.199199999999999,GGA_GGA+U,-0.0988234795395253,0.2 Lu2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Lu2O3,0.0,Lu2Si2O7 -> Lu2Si2O7
mp-768317,Dy2SiO5,Dy,C2/c,Monoclinic,0.0,-3.814613528229166,6.765194038669526,425.2060805352603,32,4.6662,GGA_GGA+U,-0.05172191541672566,0.3333 Dy2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Dy2O3,0.0,Dy2SiO5 -> Dy2SiO5
mp-752405,Dy2SiO5,Dy,P2_1/c,Monoclinic,0.022826834687499,-3.791786693541667,7.018011524727257,409.8884179810423,32,4.9139,GGA_GGA+U,-0.05172191541672566,0.3333 Dy2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Dy2O3,0.0,Dy2SiO5 -> Dy2SiO5
mp-7999,Y2Si2O7,Y,P2_1/c,Monoclinic,0.015429810530312,-3.655593218181817,4.053480529304039,283.46543732001516,22,4.931,GGA_GGA+U,-0.08488373278507177,0.2 Y2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Y2O3,0.0,Y2Si2O7 -> Y2Si2O7
mp-768411,Dy2SiO5,Dy,Pnma,Orthorhombic,0.081451452187501,-3.733162076041665,7.093811745808069,405.5085959876285,32,4.3507,GGA_GGA+U,-0.05172191541672566,0.3333 Dy2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Dy2O3,0.0,Dy2SiO5 -> Dy2SiO5
mp-1187516,YbSiO3,Yb,Pm-3m,Cubic,0.9078299743125,-2.5573448272500032,8.636992814705966,47.896258007946656,5,4.068899999999999,GGA_GGA+U_R2SCAN,-0.14376092009259844,0.3333 YbSiO3 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.1667 O2 + 0.3333 Yb,0.0,YbSiO3 -> SiO2 + 0.5 O2 + Yb
mp-7193,Lu2Si2O7,Lu,C2/m,Monoclinic,0.0,-3.72417785166666,6.355493422392386,135.36739976875975,11,4.8449,GGA_GGA+U,-0.0988234795395253,0.2 Lu2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Lu2O3,0.0,Lu2Si2O7 -> Lu2Si2O7
mp-4300,Yb2Si2O7,Yb,C2/m,Monoclinic,0.0,-3.58617321102273,6.236822823552138,136.9169728614623,11,0.0,GGA_GGA+U_R2SCAN,-0.13619455587720575,0.2 Yb2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.3 O2 + 0.4 Yb,0.0,Yb2Si2O7 -> 2 SiO2 + 1.5 O2 + 2 Yb
mp-18318,Tm2Si2O7,Tm,P-1,Triclinic,0.036575726818197,-3.676704552727273,6.682139167830451,503.00733389744727,44,4.9405,GGA_GGA+U,-0.09626137197373597,0.2 Tm2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Tm2O3,0.0,Tm2Si2O7 -> Tm2Si2O7
