material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap
mp-531302,La10(Si2O9)3,La,Pc,Monoclinic,0.024278180697676,-3.7274593981395343,5.366376079985152,1231.2696469725508,86,3.3817
mp-555465,La10Si8O3,La,P6/mmm,Hexagonal,0.030995915357142002,-1.436847655952381,5.6562588325449745,487.8452564765718,21,0.0
mp-756325,La2(SiO3)3,La,P-1,Triclinic,0.100489040476189,-3.48750892107143,5.12436200804834,327.9767456801286,28,4.419900000000001
mp-756888,La2(SiO3)3,La,P6_3/m,Hexagonal,0.030151866547617003,-3.5578460950000013,4.04166779998787,415.83614939645156,28,4.3297
mp-852194,La2(SiO3)3,La,P-1,Triclinic,3.097199561904761,-0.49079839964285704,5.124361903674961,327.976752360383,28,0.0
mp-1185023,La2Si2O5,La,P4/mmm,Tetragonal,0.657803053333321,-2.700842459444445,6.009355633430409,114.39299727835257,9,0.0
mp-18639,La2Si2O7,La,P-1,Triclinic,0.009666814772733,-3.664285678863635,4.928312833009692,601.0685483630061,44,4.5629
mp-555800,La2Si2O7,La,P2_1/c,Monoclinic,0.024688101439398,-3.649264392196971,4.971050956238214,1787.7027613437874,132,4.380800000000001
mp-5732,La2Si2O7,La,P2_1/c,Monoclinic,0.0,-3.673952493636363,4.697627190081504,630.5851274597452,44,4.7992
mp-5974,La2Si2O7,La,P4_1,Tetragonal,0.008581531818187,-3.665370961818182,5.105726391091916,1160.3652892893851,88,4.673799999999999
mp-706477,La2Si2O7,La,P2_1/c,Monoclinic,0.8701899311363701,-2.8037625624999993,3.350547333723073,884.1104289442472,44,1.9857
mp-5152,La2SiO5,La,P2_1/c,Monoclinic,0.0,-3.778476201874999,5.4831988576635915,467.457883107093,32,4.4804
mp-752717,La2SiO5,La,C2/c,Monoclinic,0.021604005000000003,-3.756872196874999,5.206211356931456,492.3281739697528,32,4.5774
mp-771045,La2SiO5,La,C2/c,Monoclinic,0.049718245624999005,-3.728757956250001,4.783846830537148,803.6935404046528,48,4.2166999999999994
mp-1211451,La5Si3O13,La,P6_3/m,Hexagonal,0.053522587202371005,-3.666284126666667,5.375073791507307,609.6958830962338,42,0.0
mp-555617,Ce10Si8O3,Ce,P6/mmm,Hexagonal,0.007932792202380001,-1.360804182142855,6.048845745060317,459.50590932055167,21,0.0
mp-582983,Ce2Si2O7,Ce,Pca2_1,Orthorhombic,0.034442322954545,-3.529373961363638,5.110272583478441,1748.4399416746721,132,0.0
mp-662527,Ce2Si2O7,Ce,P2_1/c,Monoclinic,0.0,-3.5638162843181798,4.645187000021696,641.1657699146083,44,0.07010000000000001
mp-672208,Ce2Si2O7,Ce,P4_1,Tetragonal,0.020456833522727,-3.543359450795454,5.057449936805979,1177.8010406355897,88,0.049400000000000006
mp-10523,CeSiO4,Ce,I4_1/amd,Tetragonal,0.036410676944445004,-3.563593093333333,4.936797895877379,156.2047646719938,12,1.447799999999999
mp-3160,Pr2Si2O7,Pr,P4_1,Tetragonal,0.00813972352274,-3.5977467172348483,5.322604400060206,1123.0785535175307,88,5.026299999999999
mp-5913,Pr2Si2O7,Pr,P2_1/c,Monoclinic,0.0,-3.605886440757581,4.840443314183235,617.4747293341999,44,5.3706
mp-1209689,Pr5Si3O13,Pr,P6_3/m,Hexagonal,0.016186851214831002,-3.580733482063492,5.6082911245981375,590.2702391080544,42,0.0
mp-756013,PrSiO4,Pr,I4_1/amd,Tetragonal,0.108305478749999,-3.197090425277776,4.511347897173616,171.51869079918345,12,0.0
mp-15225,Nd2Si2O7,Nd,P4_1,Tetragonal,0.0,-3.608985797500007,5.448964114516134,1113.292695283575,88,5.0173
mp-18130,Nd2Si2O7,Nd,P2_1/c,Monoclinic,0.005624540909105,-3.603361256590908,5.384392570053263,563.3218479733858,44,4.7764
mp-556771,Nd2Si2O7,Nd,P2_12_12_1,Orthorhombic,0.0032729663636510004,-3.605712831136363,5.09877536756473,594.8773487986116,44,5.2351
mp-560132,Nd2SiO5,Nd,P2_1/c,Monoclinic,0.0,-3.710467645625,5.949308169357658,442.75007917495594,32,4.7758
mp-1210042,Nd5Si3O13,Nd,P6_3,Hexagonal,0.059154129374991,-3.593851992738096,5.832056009104907,577.1164615388992,42,0.0
mp-1101436,NdSiO4,Nd,I4_1/amd,Tetragonal,0.09542216729166701,-3.212814813749999,4.6530106879817374,168.67662134615404,12,0.0
mp-17235,Sm2Si2O7,Sm,P-1,Triclinic,0.0,-3.637195456136363,5.232008128805824,595.2627213450243,44,5.321
mp-18391,Sm2Si2O7,Sm,P2_1/c,Monoclinic,0.021652230909083,-3.615543225227272,5.686430168515022,547.6932459482846,44,4.9072000000000005
mp-21794,Sm2Si2O7,Sm,P4_1,Tetragonal,0.014749998068174001,-3.622445458068182,5.753872021097067,1082.5473300181013,88,5.0
mp-1208880,Sm2SiO5,Sm,P2_1/c,Monoclinic,0.0,-3.740110009375007,6.401026546880727,424.2022849316551,32,4.8314
mp-16981,Sm5Si3O13,Sm,P6_3/m,Hexagonal,0.064365402767855,-3.617742581666668,6.193666998755516,559.8246254218349,42,0.0
mp-978506,SmSiO3,Sm,Pm-3m,Cubic,0.6600386046249971,-2.8364629000000012,7.026074818066906,53.517592677572,5,0.0
mp-21599,Eu2Si2O7,Eu,Pnma,Orthorhombic,0.078154590530306,-3.273013668409091,5.06659403725831,618.9024443433982,44,0.0
mp-505818,Eu2Si2O7,Eu,P2_1/c,Monoclinic,0.10377786484848701,-3.24739039409091,5.574039417815525,562.5592499637813,44,0.0
mp-504653,Eu2SiO4,Eu,Pnma,Orthorhombic,0.013404185714287002,-3.337149815000003,6.83081384654338,385.07382407441986,28,0.05689999999999901
mp-554546,Eu2SiO4,Eu,P2_1/c,Monoclinic,0.0,-3.3505540007142898,6.787915417570968,387.5074227678318,28,0.28889999999999905
mp-867713,Eu2SiO5,Eu,Pnma,Orthorhombic,0.178768655833334,-3.201775946250002,6.244434632296064,438.25234557565403,32,0.0
mp-867966,Eu2SiO5,Eu,C2/c,Monoclinic,0.10756158708333301,-3.272983015000003,5.815797886710778,470.55248096755093,32,0.0
mp-866030,EuSiO3,Eu,Pm-3m,Cubic,0.25598193966667504,-3.071255264,7.369525124378975,51.38487331369103,5,0.0
